Contact capacity,Customers,Subscribers captured,Capture rate,Positive rate,Cumulative lift vs random
5%,411,227,0.08937007874015748,0.5523114355231143,1.7913155928501638
10%,823,469,0.18464566929133858,0.5698663426488457,1.848251547535902
20%,1647,979,0.38543307086614176,0.5944140862173649,1.9278674182120679
30%,2471,1362,0.5362204724409448,0.5511938486442736,1.7876909154061125
